magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.8,8.0,,954.0,0.0,2.268,15.0,14.0,37.5203,20.5565,2018.0,10.0,0
6.5,2.0,4.0,655.0,0.0,1.692,68.0,10.0,49.297,-129.724,2018.0,10.0,0
6.8,4.0,4.0,776.0,0.0,1.505,36.0,10.0,49.3346,-129.289,,10.0,1
6.5,3.0,4.0,669.0,0.0,1.611,63.0,10.0,49.2586,-129.412,2018.0,10.0,1
6.5,0.0,4.0,650.0,0.0,2.109,22.0,17.0,-21.7427,169.522,2018.0,10.0,1
,0.0,3.0,691.0,0.0,2.705,,461.0,52.8549,153.243,2018.0,10.0,1
6.5,0.0,4.0,650.0,0.0,3.923,14.0,20.0,49.2902,156.297,2018.0,10.0,1
7.0,6.0,6.0,758.0,0.0,1.778,18.0,39.0,-5.7012,151.205,2018.0,10.0,1
6.7,2.0,3.0,691.0,0.0,3.745,23.0,,-18.3604,-178.063,2018.0,9.0,1
7.5,8.0,8.0,2026.0,0.0,1.649,13.0,20.0,,119.846,2018.0,9.0,0
6.5,4.0,1.0,651.0,0.0,5.139,18.0,576.0,-25.415,178.199,2018.0,9.0,0
,3.0,4.0,735.0,0.0,2.785,18.0,115.0,,-179.373,2018.0,9.0,0
6.5,3.0,6.0,651.0,,1.638,25.0,68.0,-10.0207,161.503,2018.0,9.0,1
7.9,7.0,4.0,979.0,0.0,1.431,12.0,670.81,-18.4743,179.35,2018.0,9.0,1
6.6,8.0,9.0,1075.0,0.0,1.13,32.0,35.0,42.6861,141.929,2018.0,9.0,1
7.1,2.0,5.0,776.0,0.0,2.548,23.0,21.43,-22.0295,170.126,2018.0,8.0,1
7.1,0.0,3.0,776.0,0.0,3.77,12.0,630.0,-11.0355,-70.8284,2018.0,8.0,0
6.5,6.0,7.0,652.0,0.0,4.797,,9.0,-16.0315,168.143,2018.0,8.0,1
7.3,8.0,6.0,1570.0,0.0,1.822,15.0,146.82,10.7731,-62.9019,2018.0,8.0,1
6.9,,7.0,1206.0,0.0,2.453,31.0,21.0,-8.319,116.627,2018.0,8.0,0
8.2,5.0,4.0,1050.0,0.0,3.63,13.0,600.0,-18.1125,-178.153,2018.0,8.0,1
6.5,5.0,3.0,743.0,0.0,2.719,23.0,529.0,-7.3718,119.802,2018.0,,0
6.5,6.0,6.0,655.0,0.0,0.576,22.0,33.93,51.4234,-178.026,2018.0,8.0,1
6.9,9.0,8.0,1704.0,0.0,2.271,15.0,34.0,-8.2581,116.438,2018.0,8.0,0
6.9,7.0,8.0,1392.0,63.0,0.11,,5.81,19.3182,-155.0,2018.0,5.0,1
6.8,5.0,3.0,,0.0,5.32,16.0,559.0,-20.6588,-63.0058,2018.0,4.0,0
6.9,9.0,6.0,741.0,0.0,1.487,18.0,35.0,-5.5321,151.5,2018.0,3.0,1
6.7,5.0,6.0,696.0,0.0,1.507,15.0,40.0,-5.5024,151.402,2018.0,3.0,1
6.8,6.0,6.0,719.0,0.0,1.049,16.0,22.86,-4.3762,153.2,2018.0,3.0,1
6.7,8.0,7.0,697.0,0.0,5.457,,20.49,-6.3043,142.612,2018.0,3.0,1
7.5,9.0,8.0,943.0,0.0,5.48,17.0,25.21,-6.0699,142.754,2018.0,2.0,1
7.2,7.0,7.0,1384.0,0.0,0.142,82.0,22.0,16.3855,-97.9787,2018.0,2.0,1
7.9,9.0,4.0,,0.0,2.585,30.0,14.06,56.0039,-149.166,,1.0,1
7.1,9.0,7.0,1075.0,0.0,4.29,23.0,39.0,-15.7675,-74.7092,2018.0,1.0,1
7.5,8.0,5.0,1623.0,0.0,4.581,12.0,19.0,17.4825,-83.52,2018.0,1.0,1
6.5,8.0,7.0,998.0,0.0,2.365,28.0,90.0,-7.4921,108.174,2017.0,12.0,0
6.5,1.0,5.0,651.0,0.0,17.654,23.0,17.0,-54.2189,2.1628,2017.0,12.0,1
7.0,4.0,6.0,771.0,0.0,0.617,14.0,10.0,-21.3246,168.671,2017.0,11.0,1
6.6,4.0,5.0,676.0,0.0,0.529,21.0,13.0,-21.5027,168.598,2017.0,11.0,1
6.5,8.0,8.0,1153.0,0.0,0.225,37.0,,9.5147,-84.4865,2017.0,11.0,1
7.3,,9.0,2790.0,0.0,,33.0,19.0,34.9109,45.9592,,11.0,0
6.5,6.0,5.0,661.0,0.0,4.449,10.0,110.57,-4.2433,143.485,2017.0,11.0,1
6.8,5.0,5.0,727.0,0.0,4.852,21.0,10.0,-15.3197,-173.168,2017.0,,1
6.6,3.0,5.0,674.0,0.0,0.788,,22.0,-21.6484,168.859,2017.0,11.0,1
6.7,3.0,4.0,691.0,0.0,1.062,55.0,24.0,-21.6971,169.148,2017.0,10.0,1
6.7,3.0,3.0,694.0,0.0,1.634,16.0,553.81,-7.2168,123.074,2017.0,10.0,0
6.5,3.0,5.0,651.0,0.0,1.154,11.0,,52.3909,176.769,2017.0,10.0,1
7.1,9.0,8.0,1686.0,0.0,0.984,23.0,48.0,18.5499,-98.4887,2017.0,9.0,0
8.2,9.0,7.0,2910.0,0.0,,22.0,47.39,15.0222,-93.8993,2017.0,9.0,1
6.5,5.0,7.0,707.0,0.0,11.411,22.0,9.0,33.1926,103.855,2017.0,8.0,0
6.6,7.0,7.0,1064.0,0.0,0.913,16.0,7.0,36.9293,27.4139,,7.0,0
7.7,8.0,7.0,918.0,0.0,3.564,13.0,10.0,54.4434,168.857,,7.0,1
6.6,5.0,4.0,704.0,0.0,3.773,37.0,10.0,-49.4837,164.016,2017.0,7.0,1
6.5,9.0,8.0,740.0,0.0,4.139,30.0,9.0,11.1269,124.629,2017.0,7.0,1
6.8,6.0,6.0,1034.0,0.0,1.065,38.0,38.12,13.7174,-90.9718,2017.0,6.0,1
6.9,8.0,,1188.0,0.0,0.247,35.0,93.0,14.9091,-92.0092,2017.0,6.0,1
6.8,0.0,4.0,711.0,0.0,2.308,12.0,5.0,54.0312,170.92,2017.0,6.0,1
6.6,7.0,7.0,678.0,0.0,2.353,18.0,12.0,-1.2923,120.431,2017.0,5.0,0
6.5,0.0,4.0,650.0,,6.489,17.0,15.0,-56.414,-25.7432,2017.0,5.0,1
6.8,6.0,5.0,713.0,0.0,7.495,19.0,169.0,,167.377,2017.0,5.0,1
,9.0,6.0,814.0,0.0,1.636,14.0,26.0,5.5043,125.066,2017.0,4.0,1
6.9,9.0,7.0,1642.0,0.0,0.356,39.0,28.0,-33.0375,,2017.0,4.0,1
6.5,7.0,8.0,1297.0,0.0,2.36,15.0,29.0,-22.6784,,2017.0,4.0,0
6.6,6.0,7.0,671.0,0.0,4.591,14.0,17.0,56.9401,162.786,2017.0,3.0,1
6.9,2.0,3.0,733.0,0.0,6.012,19.0,414.5,-23.2593,,2017.0,2.0,1
,3.0,3.0,653.0,0.0,4.242,14.0,595.98,-19.2814,-63.9047,2017.0,2.0,0
6.5,8.0,7.0,718.0,,2.822,36.0,15.0,9.9071,125.452,2017.0,2.0,1
7.9,9.0,7.0,987.0,,3.625,9.0,135.0,-6.2464,155.172,,1.0,1
